"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Middle Atlantic : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MAT-99.A",399912,405484,401392,408506,425528,421777,434638,426348,414458,432396,429489,424451,427653,426164,427736,427030,417261,422940,431617,420680,427537,429507,424194,430689
"Middle Atlantic : other renewables",,"ELEC.GEN.AOR-MAT-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Middle Atlantic : wind","thousand megawatthours","ELEC.GEN.WND-MAT-99.A",32,139,153,423,387,1032,1324,2001,3362,4463,4633,5132,6902,7556,7351,7437,7749,7588,7728,8290,7631,8161,8076,9307
"Middle Atlantic : all solar","thousand megawatthours","ELEC.GEN.TSN-MAT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2622,3077,3594,4378,5176,6308,7668,8786,10994,12304,14710
"New Jersey",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NJ-99.A",59421,61569,57399,55882,60550,60700,62671,63675,61811,65682,64694,65263,64751,68051,74609,77611,75645,75034,71019,61106,61434,65061,64229,60175
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-99.A","--","--","--","--","--",16,20,21,21,13,11,12,11,23,22,21,22,23,22,20,20,22,18,19
"New Jersey : all solar","thousand megawatthours","ELEC.GEN.TSN-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1888,2062,2220,2586,2903,3357,3809,4043,4691,4710,4992
"New York",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"New York : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NY-99.A",143915,139592,137643,137965,146887,142265,145879,140322,133151,136962,137480,135768,136117,137077,138582,134377,128025,132521,131603,129430,124772,125185,124040,129015
"New York : other renewables",,"ELEC.GEN.AOR-NY-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-99.A",21,82,41,116,103,655,833,1251,2266,2596,2828,2992,3539,3968,3977,3940,4136,3998,4456,4522,4156,4568,4800,6031
"New York : all solar","thousand megawatthours","ELEC.GEN.TSN-NY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",421,689,1013,1364,1794,2376,3130,3861,5256,6205,7650
"Pennsylvania",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-PA-99.A",196577,204323,206350,214659,218091,218812,226088,222351,219496,229752,227315,223420,226786,221035,214545,215042,213591,215386,228995,230143,241331,239261,235925,241499
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-99.A",11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3591,3567,3250,3748,3455,3572,3258,3257
"Pennsylvania : all solar","thousand megawatthours","ELEC.GEN.TSN-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",314,325,361,427,479,575,729,882,1047,1389,2069
"East North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"East North Central : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ENC-99.A",614690,637052,632051,647006,664912,652547,668755,660867,607787,645996,629676,613916,622073,619924,600419,586023,580757,611174,588001,554079,581539,597825,584213,614249
"East North Central : other renewables",,"ELEC.GEN.AOR-ENC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"East North Central : wind","thousand megawatthours","ELEC.GEN.WND-ENC-99.A",73,47,118,184,249,373,791,3219,5589,8849,11341,14612,18610,20218,22852,23019,25778,26181,30422,33301,38867,47600,43502,49877
"East North Central : all solar","thousand megawatthours","ELEC.GEN.TSN-ENC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",378,463,604,863,1134,1428,1965,4344,7538,10580,18230
"Illinois",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Illinois : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IL-99.A",179249,188054,189055,191958,194120,192427,200261,199475,193864,201352,199500,197565,203005,202144,193952,187289,183592,188003,184470,173395,181638,185223,177738,185013
"Illinois : other renewables",,"ELEC.GEN.AOR-IL-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-99.A","--","--",18,78,141,255,664,2337,2820,4454,6213,7727,9625,10083,10747,10663,12268,11899,14460,16226,19133,23494,21808,24910
"Illinois : all solar","thousand megawatthours","ELEC.GEN.TSN-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",71,76,86,111,161,251,506,1438,2795,3447,4787
"Indiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Indiana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IN-99.A",122570,125608,124888,127770,130372,130490,130638,129510,116670,125181,122131,114696,110403,115395,104019,101759,98930,113460,102505,90073,94165,98055,90047,97013
"Indiana : other renewables",,"ELEC.GEN.AOR-IN-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-99.A","--","--","--","--","--","--","--",238,1403,2934,3285,3210,3481,3496,4515,4899,5089,5437,6216,6288,7857,9985,8844,10312
"Indiana : all solar","thousand megawatthours","ELEC.GEN.TSN-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",111,168,243,313,389,450,526,791,1363,2203,3478
