"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"North Carolina : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NC-99.A",117496,124468,127582,126330,129749,125215,130115,125239,118407,128678,118390,116682,125936,128144,128388,130779,128468,134249,131174,124363,129923,134257,126553,134965
"North Carolina : other renewables",,"ELEC.GEN.AOR-NC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina : wind","thousand megawatthours","ELEC.GEN.WND-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",6,471,543,523,546,515,547,529,530
"North Carolina : all solar","thousand megawatthours","ELEC.GEN.TSN-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",803,1460,3589,5300,6323,7725,8633,10578,11858,12216,12752
"South Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-SC-99.A",89159,96563,93773,97940,102515,99268,103402,100978,100125,104153,102973,96756,95250,97158,96532,96986,93081,99364,100108,98529,98390,98710,100853,100485
"South Carolina : other renewables",,"ELEC.GEN.AOR-SC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina : wind","thousand megawatthours","ELEC.GEN.WND-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : all solar","thousand megawatthours","ELEC.GEN.TSN-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,11,41,217,759,1187,2092,2707,2942,3351,3563
"Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Virginia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-VA-99.A",74105,75006,75309,78900,78943,73070,78361,72679,70082,72966,66671,70739,76897,77137,84412,92555,90417,95509,96828,103056,93478,89477,91059,102699
"Virginia : other renewables",,"ELEC.GEN.AOR-VA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Virginia : wind","thousand megawatthours","ELEC.GEN.WND-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",50,51,47,50
"Virginia : all solar","thousand megawatthours","ELEC.GEN.TSN-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",22,30,62,379,845,1081,1585,3588,5015,6129,8042
"West Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"West Virginia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WV-99.A",81837,94762,94712,89750,93626,93816,93933,91123,70783,80789,79000,73413,75863,81060,72295,75943,73357,67249,63926,56662,65836,56665,52287,50595
"West Virginia : other renewables",,"ELEC.GEN.AOR-WV-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"West Virginia : wind","thousand megawatthours","ELEC.GEN.WND-WV-99.A","--",9,170,161,154,174,168,392,742,939,1103,1286,1387,1451,1376,1432,1682,1770,1631,1898,1624,2007,2089,2003
"West Virginia : all solar","thousand megawatthours","ELEC.GEN.TSN-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4,4,6,8,10,12,15,22,33,47,247
"East South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"East South Central : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ESC-99.A",370431,364030,361576,373142,377956,379827,386209,382602,362304,387204,387365,375137,372776,374871,375994,364881,351917,368891,362770,348235,359422,359754,353377,363376
"East South Central : other renewables",,"ELEC.GEN.AOR-ESC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"East South Central : wind","thousand megawatthours","ELEC.GEN.WND-ESC-99.A","--",4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,38,39,28,15,16,360
"East South Central : all solar","thousand megawatthours","ELEC.GEN.TSN-ESC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",105,155,242,509,1034,1240,1336,1497,2342,3199,4632
"Alabama",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Alabama : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AL-99.A",125345,132921,137487,137355,137949,140895,143826,145870,143256,152151,156339,152879,150573,149340,152477,142385,139964,145058,142679,137547,142733,144789,139435,142921
"Alabama : other renewables",,"ELEC.GEN.AOR-AL-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Alabama : wind","thousand megawatthours","ELEC.GEN.WND-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : all solar","thousand megawatthours","ELEC.GEN.TSN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",3,3,39,189,368,399,384,513,916,1223,1282
"Kentucky",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-KY-99.A",95418,92107,91719,94530,97822,98792,97225,97863,90630,98218,98351,89950,89741,90896,83544,80274,73179,78804,71804,63540,69908,69147,63217,66951
"Kentucky : other renewables",,"ELEC.GEN.AOR-KY-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky : wind","thousand megawatthours","ELEC.GEN.WND-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : all solar","thousand megawatthours","ELEC.GEN.TSN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",13,14,32,45,71,85,94,115,148,286,438
"Mississippi",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MS-99.A",53446,42889,40148,43663,45067,46229,50044,48206,48701,54487,51571,54584,52810,55127,64758,62881,59728,63474,65959,66582,67723,67781,72933,77337
"Mississippi : other renewables",,"ELEC.GEN.AOR-MS-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi : wind","thousand megawatthours","ELEC.GEN.WND-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",347
"Mississippi : all solar","thousand megawatthours","ELEC.GEN.TSN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,6,96,337,336,445,441,526,656,1721
"Tennessee",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Tennessee : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-TN-99.A",96222,96114,92222,97595,97117,93911,95113,90663,79717,82349,81104,77724,79652,79507,75215,79341,79046,81555,82327,80566,79057,78036,77791,76167
"Tennessee : other renewables",,"ELEC.GEN.AOR-TN-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Tennessee : wind","thousand megawatthours","ELEC.GEN.WND-TN-99.A","--",4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,38,39,28,15,16,13
"Tennessee : all solar","thousand megawatthours","ELEC.GEN.TSN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",87,136,164,179,258,420,413,427,752,1034,1191
"West South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"West South Central : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WSC-99.A",562916,587395,585113,601129,605688,614288,625486,628620,620686,647831,676881,676122,669387,673607,689334,700416,685020,734662,734205,712298,722414,781608,797511,821737
"West South Central : other renewables",,"ELEC.GEN.AOR-WSC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"West South Central : wind","thousand megawatthours","ELEC.GEN.WND-WSC-99.A",1188,2656,2624,3710,5085,8383,10856,18583,22724,30059,36153,40372,47036,51942,58864,77600,90660,103039,112629,121858,132015,152340,156867,162244
"West South Central : all solar","thousand megawatthours","ELEC.GEN.TSN-WSC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",557,789,1355,2947,4449,5933,10899,18372,27039,34353,50430
"Arkansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AR-99.A",47192,47612,50401,51928,47795,52169,54596,55051,57458,61000,61308,65006,60322,61592,55559,60445,60775,67999,64443,54641,61100,65905,63196,61542
"Arkansas : other renewables",,"ELEC.GEN.AOR-AR-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas : wind","thousand megawatthours","ELEC.GEN.WND-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : all solar","thousand megawatthours","ELEC.GEN.TSN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",5,6,33,41,225,246,358,631,967,1194,2840
"Louisiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-LA-99.A",87894,94971,94885,98172,92617,90922,92578,92453,90994,102885,105491,103408,102010,104229,107812,107269,97719,102128,100175,100774,98715,105505,97785,99623
"Louisiana : other renewables",,"ELEC.GEN.AOR-LA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : wind","thousand megawatthours","ELEC.GEN.WND-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : all solar","thousand megawatthours","ELEC.GEN.TSN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",104,153,191,202,230,242,296,407,468,592,1535
"Oklahoma",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OK-99.A",55249,59183,60627,60730,68608,70615,72819,76329,75067,72251,74606,77897,73674,70156,76136,78655,73732,87181,86386,83368,80755,84635,89236,94069
"Oklahoma : other renewables",,"ELEC.GEN.AOR-OK-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma : wind","thousand megawatthours","ELEC.GEN.WND-OK-99.A","--","--",54,573,848,1712,1849,2358,2698,3808,5605,8158,11162,11937,14031,20069,23599,27338,29008,29417,32540,37553,37012,37967
"Oklahoma : all solar","thousand megawatthours","ELEC.GEN.TSN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,9,38,73,79,93,128,167,242,540
"Texas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Texas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-TX-99.A",372580,385629,379200,390299,396669,400583,405492,404788,397168,411695,435477,429813,433380,437630,449826,454048,452794,477352,483201,473515,481844,525563,547295,566503
"Texas : other renewables",,"ELEC.GEN.AOR-TX-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Texas : wind","thousand megawatthours","ELEC.GEN.WND-TX-99.A",1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67061,75700,83620,92441,99474,114787,119855,124278
"Texas : all solar","thousand megawatthours","ELEC.GEN.TSN-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",446,624,1122,2665,3921,5366,10151,17205,25437,32325,45515
"Mountain",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Mountain : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MTN-99.A",318485,318135,325285,343713,348941,352510,367325,379687,369302,366054,364847,367566,376452,373334,373168,364116,361265,371498,372421,358058,370201,375324,372230,382802
"Mountain : other renewables",,"ELEC.GEN.AOR-MTN-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Mountain : wind","thousand megawatthours","ELEC.GEN.WND-MTN-99.A",414,586,696,1350,2288,3486,4108,6651,8260,10484,15317,17080,19285,20257,18945,23842,24719,26339,28534,33724,43073,50193,49227,54179
"Mountain : all solar","thousand megawatthours","ELEC.GEN.TSN-MTN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",6659,8186,12031,17284,19140,20363,23490,27829,33450,38769,51353
"Arizona",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Arizona : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AZ-99.A",89911,94132,94396,104564,101479,104393,113341,119459,111971,111751,108125,110905,113326,112257,113142,108763,105852,111925,113552,109305,108605,104699,111839,116027
"Arizona : other renewables",,"ELEC.GEN.AOR-AZ-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Arizona : wind","thousand megawatthours","ELEC.GEN.WND-AZ-99.A","--","--","--","--","--","--","--","--",30,135,256,532,450,468,452,542,570,530,554,644,1600,1564,1733,2540
"Arizona : all solar","thousand megawatthours","ELEC.GEN.TSN-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4243,4827,5369,6835,7406,7850,8749,10081,11063,12309,16266
"Colorado",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Colorado : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CO-99.A",46876,45600,46617,47869,49617,50698,53907,53442,50566,50721,51433,52557,52937,53847,52393,54418,53844,55386,56338,54115,56838,58044,57542,58798
"Colorado : other renewables",,"ELEC.GEN.AOR-CO-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Colorado : wind","thousand megawatthours","ELEC.GEN.WND-CO-99.A",49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9315,9745,10852,13386,15126,16911,16091,17602
"Colorado : all solar","thousand megawatthours","ELEC.GEN.TSN-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",606,643,999,1485,1653,1852,2204,2786,3772,5319,6974
"Idaho",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Idaho : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ID-99.A",9347,9787,10423,10863,10825,13386,11484,11971,13100,12025,16569,15499,15186,15184,15667,15661,17396,18172,18408,17686,16836,16278,17842,20035
"Idaho : other renewables",,"ELEC.GEN.AOR-ID-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Idaho : wind","thousand megawatthours","ELEC.GEN.WND-ID-99.A","--","--","--","--","--",170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2551,2771,2680,2442,2320,3016
"Idaho : all solar","thousand megawatthours","ELEC.GEN.TSN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4,6,40,476,589,615,653,684,712,1092,1294
"Montana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Montana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MT-99.A",24232,25474,26269,26789,27939,28244,28931,29637,26713,29791,30129,27805,27687,30258,29302,27784,28221,28213,27797,23353,24948,27089,26896,26873
"Montana : other renewables",,"ELEC.GEN.AOR-MT-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Montana : wind","thousand megawatthours","ELEC.GEN.WND-MT-99.A","--","--","--","--","--",436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2373,3059,3473,4022,4557,5815
"Montana : all solar","thousand megawatthours","ELEC.GEN.TSN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",11,8,11,29,54,54,67,76,85,316,473
"Nevada",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Nevada : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NV-99.A",33876,32089,33195,37667,40214,31860,32670,35090,37705,35146,31936,35173,36444,36001,39047,39787,38201,39640,39890,40425,41755,42592,42164,45528
"Nevada : other renewables",,"ELEC.GEN.AOR-NV-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Nevada : wind","thousand megawatthours","ELEC.GEN.WND-NV-99.A","--","--","--","--","--","--","--","--","--","--","--",129,251,300,310,344,361,312,329,325,340,316,291,319
"Nevada : all solar","thousand megawatthours","ELEC.GEN.TSN-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1117,1844,3496,4558,5215,5491,6407,7656,10415,11381,14497
"New Mexico",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NM-99.A",33612,30662,32736,32940,35136,37266,35985,37010,39674,36252,38181,36636,35871,32306,32701,32912,33597,32674,35175,34076,35192,40889,39269,39697
"New Mexico : other renewables",,"ELEC.GEN.AOR-NM-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"New Mexico : wind","thousand megawatthours","ELEC.GEN.WND-NM-99.A","--","--",183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6892,7224,10581,14435,14914,15136
"New Mexico : all solar","thousand megawatthours","ELEC.GEN.TSN-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",635,757,909,1397,1599,1667,2114,2212,2566,3314,5087
"Utah",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Utah : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-UT-99.A",35854,36608,38024,38212,38165,41263,45373,46579,43543,42249,40836,39403,42517,43785,41949,38134,37412,39375,39117,37087,42566,39386,33497,35134
"Utah : other renewables",,"ELEC.GEN.AOR-UT-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Utah : wind","thousand megawatthours","ELEC.GEN.WND-UT-99.A","--","--","--","--","--","--","--",24,160,448,573,704,540,660,626,822,858,795,819,803,825,723,683,748
"Utah : all solar","thousand megawatthours","ELEC.GEN.TSN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",40,99,1203,2500,2618,2646,3117,4137,4629,4835,6306
"Wyoming",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WY-99.A",44777,43784,43627,44808,45567,45400,45633,46500,46029,48119,47638,49589,52483,49696,48967,46657,46742,46112,42146,42011,43461,46347,43181,40709
"Wyoming : other renewables",,"ELEC.GEN.AOR-WY-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming : wind","thousand megawatthours","ELEC.GEN.WND-WY-99.A",365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4163,5513,8448,9780,8637,9002
"Wyoming : all solar","thousand megawatthours","ELEC.GEN.TSN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,3,3,5,7,189,178,197,209,202,456
"Pacific Contiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-PCC-99.A",326697,334074,341849,348327,351584,378343,372916,377531,365937,362725,375763,377287,374146,375262,363858,371232,384772,376336,370506,372823,368990,381392,381281,381250
"Pacific Contiguous : other renewables",,"ELEC.GEN.AOR-PCC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : wind","thousand megawatthours","ELEC.GEN.WND-PCC-99.A",3588,4595,4943,5661,5495,6852,9270,11618,12882,14743,18790,22697,27282,27816,25936,28708,25975,29371,26981,31626,33851,30848,30522,34031
"Pacific Contiguous : all solar","thousand megawatthours","ELEC.GEN.TSN-PCC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",14746,21001,27319,35447,40831,44644,49311,56837,65399,72277,83843
"California",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"California : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CA-99.A",198596,184210,192789,194780,200293,216799,210848,207984,204776,204126,200805,199519,200077,198808,196704,196963,206147,195466,201784,193084,197165,203384,216629,214191
"California : other renewables",,"ELEC.GEN.AOR-CA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"California : wind","thousand megawatthours","ELEC.GEN.WND-CA-99.A",3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,13735,13583,15177,14638,14019,15648
"California : all solar","thousand megawatthours","ELEC.GEN.TSN-CA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",14606,20829,27037,34958,39904,43493,47680,54712,62910,68978,80152
"Oregon",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OR-99.A",45052,47099,48966,51381,49325,53341,55078,58718,56691,55127,59695,60933,59896,60120,57867,60182,62714,64114,62258,63625,61017,61318,61692,64661
"Oregon : other renewables",,"ELEC.GEN.AOR-OR-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : wind","thousand megawatthours","ELEC.GEN.WND-OR-99.A",89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,6569,8777,9376,8149,8954,9519
"Oregon : all solar","thousand megawatthours","ELEC.GEN.TSN-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",104,116,192,373,776,903,1335,1766,2013,2416,2620
"Washington",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Washington : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WA-99.A",83049,102765,100095,102165,101966,108203,106990,110828,104470,103473,115263,116835,114173,116334,109287,114087,115912,116757,106464,116114,110808,116691,102961,102398
"Washington : other renewables",,"ELEC.GEN.AOR-WA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Washington : wind","thousand megawatthours","ELEC.GEN.WND-WA-99.A","--",417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,6677,9266,9298,8061,7550,8863
"Washington : all solar","thousand megawatthours","ELEC.GEN.TSN-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",37,56,90,116,151,248,296,359,477,883,1071
"Pacific Noncontiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Noncontiguous : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-PCN-99.A",17377,18430,17315,17937,18099,18233,18355,18151,17713,17596,17594,17416,16764,16247,16404,16284,16310,16044,15821,15355,15778,16032,15912,15851
"Pacific Noncontiguous : other renewables",,"ELEC.GEN.AOR-PCN-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Noncontiguous : wind","thousand megawatthours","ELEC.GEN.WND-PCN-99.A",3,2,2,7,7,80,239,240,258,274,353,416,649,731,772,808,674,757,672,721,790,765,746,787
"Pacific Noncontiguous : all solar","thousand megawatthours","ELEC.GEN.TSN-PCN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",590,687,850,1148,1216,1385,1701,1770,1897,2059,2306
"Alaska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Alaska : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AK-99.A",6744,6767,6339,6527,6577,6674,6821,6775,6702,6760,6871,6946,6497,6043,6285,6335,6497,6247,6071,6276,6596,6694,6718,6691
"Alaska : other renewables",,"ELEC.GEN.AOR-AK-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Alaska : wind","thousand megawatthours","ELEC.GEN.WND-AK-99.A",1,"--","--","--",1,1,1,0,7,13,12,37,145,152,160,169,142,155,143,129,132,139,111,123
"Alaska : all solar","thousand megawatthours","ELEC.GEN.TSN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,2,3,4,7,12,16,18,28
"Hawaii",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-HI-99.A",10633,11663,10976,11410,11523,11559,11533,11376,11011,10836,10723,10469,10267,10204,10120,9949,9813,9797,9750,9079,9182,9337,9194,9161
"Hawaii : other renewables",,"ELEC.GEN.AOR-HI-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii : wind","thousand megawatthours","ELEC.GEN.WND-HI-99.A",2,2,2,7,7,80,238,240,251,261,341,378,503,579,613,639,532,602,529,592,658,625,634,663
"Hawaii : all solar","thousand megawatthours","ELEC.GEN.TSN-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",590,687,848,1146,1213,1381,1695,1758,1882,2040,2278
